bzn,zone_name,country,role,month,mean_eur_mwh,p10_eur_mwh,p90_eur_mwh,volatility_eur_mwh,negative_hours,hour_count,source_url,license,mean_usd_kwh,p10_usd_kwh,p90_usd_kwh,volatility_usd_kwh,fx_usd_per_eur,fx_source_url,as_of_date,confidence
FR,France,FR,constrained,2026-03,64.07027217741935,1.853,131.7497500000001,48.97719786871757,39,744,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.07453711219168346,0.002155715345,0.1532730479087501,0.056978357798540616,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2026-04,39.55741666666667,-3.0152499999999995,118.29300000000002,58.94506796683458,139,720,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.046019714040416666,-0.003507836316249999,0.13761793594500002,0.0685746289952365,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2026-05,52.24528561827957,-0.01,117.69300000000001,58.03972040199077,103,744,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.060780336703309804,-1.163365e-05,0.136919916945,0.067521379325462,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2026-06,66.24156944444445,-0.01,134.0525,60.09803790415382,96,720,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.07706312343673612,-1.163365e-05,0.15595198666250001,0.06991595386636591,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2026-07,95.3341061827957,-0.005,161.93600000000004,61.12427822464108,80,744,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.11090836243934811,-5.816825e-06,0.18839067464000003,0.07110984593680958,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
FR,France,FR,constrained,2026-08,116.22936170212765,0.5100000000000002,178.165,59.165884450307345,5,94,https://api.energy-charts.info/price?bzn=FR&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.13521717137659572,0.0005933161500000003,0.20727092522499999,0.0688315191635318,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2025-12,63.442499999999995,63.442499999999995,63.442499999999995,,0,1,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.07380678401249999,0.07380678401249999,0.07380678401249999,,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-01,107.66213373655914,79.18249999999999,146.842,31.913957460057723,0,744,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.12525035821443212,0.09211814911249999,0.17083084333,0.03712758112052005,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-02,92.94459449404762,62.88975,123.077,25.635775079526898,0,672,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.1081284881735677,0.07316373400875,0.14318347410499999,0.029823763475393807,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-03,98.98120295698925,13.00875,157.50275000000002,52.02159804514592,20,744,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.11515126717805779,0.015133924443749999,0.18323318675375003,0.060520106409791184,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-04,84.50253125,-3.039499999999998,144.70375,67.24691202606846,107,720,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.09830728726765625,-0.0035360479174999975,0.16834327811875002,0.07823270380920712,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-05,94.98040994623656,0.0007499999999999929,150.14425,65.98357207950136,71,744,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.11049688461710351,8.725237499999916e-07,0.17467256540124998,0.0767629783322691,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-06,110.1534826388889,5.065,168.40800000000002,84.71149504093457,50,720,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.128148706330191,0.005892443725000001,0.19591997292000002,0.09855038842829685,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-07,105.88682123655914,0.9349999999999998,167.0395,60.40977109793257,59,744,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.12318502178786964,0.0010877462749999997,0.1943279079175,0.07027861335334633,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NL,Netherlands,NL,constrained,2026-08,121.05638297872339,2.7750000000000004,178.40949999999998,60.869827075499494,6,94,https://api.energy-charts.info/price?bzn=NL&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.14083275898404252,0.0032283378750000004,0.20755536796749996,0.07081382637568846,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
NO2,Norway NO2,NO,supply-rich,2025-12,63.685,63.685,63.685,,0,1,https://api.energy-charts.info/price?bzn=NO2&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.074088900025,0.074088900025,0.074088900025,,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
